District_Name,Total_Pop_6yrs_Plus,Literate_Count,Not_Literate_Count,Literacy_Rate_Pct
Ablekuma Central Municipal,,129346,,
Ablekuma North Municipal,,129296,,
Ablekuma West Municipal,,122187,,
Abuakwa North Municipal,,55567,,
Abuakwa South Municipal,,60277,,
Abura Asebu Kwamankese,,72877,,
Achiase,,33728,,
Ada East,,42506,,
Ada West,,37492,,
Adaklu,,22062,,
Adansi Asokwa,,41122,,
Adansi North,,36887,,
Adansi South,,49515,,
Adentan Municipal,,215003,,
Afadzato South,,49103,,
Afigya Kwabre North,,43644,,
Afigya Kwabre South,,166469,,
Agona East,,62731,,
Agona West Municipal,,91939,,
Agortime-Ziope,,22356,,
Ahafo Ano North Municipal,,55131,,
Ahafo Ano South East,,32618,,
Ahafo Ano South West,,34831,,
Ahanta West Municipal,,92654,,
Ajumako Enyan Essiam,,73377,,
Akatsi North,,16521,,
Akatsi South Municipal,,52651,,
Akrofuom,,27196,,
Akwapim North Municipal,,77412,,
Akwapim South Municipal,,55750,,
Akyemansa,,52641,,
Amansie Central,,52317,,
Amansie South,,61935,,
Amansie West,,64515,,
Anloga,,53554,,
Aowin Municipal,,61771,,
Asante Akim Central Municipal,,63026,,
Asante Akim North Municipal,,52552,,
Asante Akim South Municipal,,73412,,
Asene Manso Akroso,,47612,,
Ashaiman Municipal,,157344,,
Asikuma Odoben Brakwa,,75982,,
Asokore Mampong Municipal,,128242,,
Asokwa Municipal,,95895,,
Assin Fosu Municipal,,62275,,
Assin North,,46488,,
Assin South,,62433,,
Asunafo North Municipal,,88972,,
Asunafo South,,51319,,
Asuogyaman,,69740,,
Asutifi North,,43954,,
Asutifi South,,37157,,
Atebubu Amantin Municipal,,59545,,
Atiwa East,,42010,,
Atiwa West,,39659,,
Atwima Kwanwoma,,167872,,
Atwima Mponua,,85115,,
Atwima Nwabiagya North,,107501,,
Atwima Nwabiagya South Municipal,,116120,,
Awutu Senya,,95068,,
Awutu Senya East Municipal,,179918,,
Ayawaso Central Municipal,,75936,,
Ayawaso East Municipal,,36845,,
Ayawaso North Municipal,,47345,,
Ayawaso West Municipal,,65214,,
Ayensuano,,54729,,
Banda,,12201,,
Bawku Municipal,,50203,,
Bawku West,,45440,,
Bekwai Municipal,,93510,,
Berekum East Municipal,,77017,,
Berekum West,,31538,,
Bia East,,25121,,
Bia West,,54473,,
Biakoye,,38246,,
Bibiani Anhwiaso Bekwai Municipal,,102845,,
Binduri,,24384,,
Birim Central Municipal,,56279,,
Birim North,,52787,,
Birim South,,23553,,
Bodi,,33632,,
Bole,,38699,,
Bolgatanga East,,20700,,
Bolgatanga Municipal,,80523,,
Bongo,,46319,,
Bosome Freho,,34937,,
Bosomtwi,,117919,,
Builsa North Municipal,,25925,,
Builsa South,,12195,,
Bunkpurugu Nakpanduri,,37606,,
Central Gonja,,28177,,
Central Tongu,,42280,,
Chereponi,,18294,,
Daffiama Bussie Issa,,10849,,
Denkyembuor,,51773,,
Dormaa Central Municipal,,71778,,
Dormaa East,,41991,,
Dormaa West,,25728,,
East Gonja Municipal,,35012,,
East Mamprusi Municipal,,50503,,
Effia Kwesimintsim Municipal,,136821,,
Effutu Municipal,,76916,,
Ejisu Municipal,,128161,,
Ejura Sekyedumase Municipal,,64392,,
Ekumfi,,29956,,
Ellembelle,,70800,,
Fanteakwa North,,32577,,
Fanteakwa South,,37417,,
Ga Central Municipal,,266523,,
Ga East Municipal,,230646,,
Ga North Municipal,,187300,,
Ga South Municipal,,249911,,
Ga West Municipal,,233327,,
Garu,,23511,,
Gomoa Central,,52972,,
Gomoa East,,220120,,
Gomoa West,,70991,,
Guan,,19727,,
Gushegu Municipal,,22010,,
Ho Municipal,,140148,,
Ho West,,56920,,
Hohoe Municipal,,80764,,
Jaman North,,67941,,
Jaman South,,64633,,
Jasikan Municipal,,36791,,
Jirapa Municipal,,32887,,
Jomoro Municipal,,71029,,
Juaben Municipal,,40340,,
Juaboso,,46119,,
Kadjebi,,41119,,
Karaga,,16343,,
Kasena Nankana Municipal,,53430,,
Kasena Nankana West,,39638,,
Keta Municipal,,49453,,
Ketu North Municipal,,62504,,
Ketu South Municipal,,139100,,
Kintampo North Municipal,,59160,,
Kintampo South,,37722,,
Komenda Edina Eguafo Abirem Municipal,,99034,,
Korle Klottey Municipal,,53560,,
Kpandai,,37363,,
Kpando Municipal,,40255,,
Kpone Katamanso Municipal,,314650,,
Krachi East Municipal,,41385,,
Krachi Nchumuru,,27100,,
Krachi West Municipal,,26569,,
Krowor Municipal,,116949,,
Kumbungu,,29425,,
Kwabre East,,213468,,
Kwadaso Municipal,,122814,,
Kwaebibirem Municipal,,80245,,
Kwahu Afram Plains North,,27388,,
Kwahu Afram Plains South,,31563,,
Kwahu East,,50042,,
Kwahu South Municipal,,49306,,
Kwahu West Municipal,,99902,,
La Dade-Kotopon Municipal,,117045,,
La Nkwantanang Madina Municipal,,177464,,
Lambussie Karni,,17098,,
Lawra Municipal,,22981,,
Ledzokuku Municipal,,174175,,
Lower Manya Krobo Municipal,,83141,,
Mampong Municipal,,75779,,
Mamprugu Moagduri,,12503,,
Mfantsiman Municipal,,105613,,
Mion,,16537,,
Mpohor,,31206,,
Nabdam,,21038,,
Nadowli Kaleo,,30899,,
Nandom,,21377,,
Nanton,,11229,,
Nanumba North Municipal,,47586,,
Nanumba South,,22874,,
New Juaben North Municipal,,69739,,
New Juaben South Municipal,,103322,,
Ningo-Prampram,,139366,,
Nkoranza North,,28010,,
Nkoranza South Municipal,,62592,,
Nkwanta North (Kpassa),,30520,,
Nkwanta South Municipal,,50645,,
North Dayi,,26827,,
North East Gonja,,5838,,
North Gonja,,10840,,
North Tongu,,59806,,
Nsawam Adoagyiri Municipal,,109626,,
Nzema East Municipal,,47557,,
Obuasi East,,65807,,
Obuasi Municipal,,78293,,
Offinso Municipal,,81481,,
Offinso North,,38373,,
Oforikrom Municipal,,169994,,
Okaikoi North Municipal,,129951,,
Okere,,33702,,
Old Tafo Municipal,,85651,,
Prestea/Huni Valley Municipal,,135640,,
Pru East,,38713,,
Pru West,,24975,,
Pusiga,,21371,,
Saboba,,34350,,
Sagnarigu Municipal,,185060,,
Savelugu Municipal,,36968,,
Sawla Tuna Kalba,,25648,,
Sefwi Akontombra,,34115,,
Sefwi Wiawso Municipal,,91464,,
Sekyere Afram Plains,,9942,,
Sekyere Central,,37245,,
Sekyere East,,50617,,
Sekyere Kumawu,,41581,,
Sekyere South,,81155,,
Sene East,,22144,,
Sene West,,24566,,
Shai-Osudoku,,67413,,
Shama,,75195,,
Sissala East Municipal,,28893,,
Sissala West,,20325,,
South Dayi,,37743,,
South Tongu,,64637,,
Suaman,,21074,,
Suame Municipal,,103448,,
Suhum Municipal,,85360,,
Sunyani Municipal,,139684,,
Sunyani West Municipal,,89854,,
TMA-Tamale Central,,73303,,
TMA-Tamale South,,109693,,
TMA-Tema Central,,56653,,
TMA-Tema East,,80305,,
Tain,,55668,,
Talensi,,38136,,
Tamale Metropolitan Area (TMA),,182996,,
Tano North Municipal,,58354,,
Tano South Municipal,,49870,,
Tarkwa-Nsuaem Municipal,,149795,,
Tatale Sanguli,,17504,,
Techiman Municipal,,148225,,
Techiman North,,59214,,
Tema Metropolitan Area (TMA),,136958,,
Tema West Municipal,,162349,,
Tempane,,24955,,
Tolon,,25485,,
Twifo Ati Morkwa,,58235,,
Twifo Heman Lower Denkyira,,39585,,
Upper Denkyira East Municipal,,70017,,
Upper Denkyira West,,51110,,
Upper Manya Krobo,,35500,,
Upper West Akim,,54766,,
Wa East,,21403,,
Wa Municipal,,114121,,
Wa West,,26367,,
Wassa Amenfi Central,,58922,,
Wassa Amenfi East Municipal,,95285,,
Wassa Amenfi West Municipal,,71750,,
Wassa East,,52941,,
Weija Gbawe Municipal,,169332,,
Wenchi Municipal,,62733,,
West Akim Municipal,,74568,,
West Gonja,,26871,,
West Mamprusi Municipal,,57240,,
Yendi Municipal,,52874,,
Yilo Krobo Municipal,,80491,,
Yunyoo Nasuan,,11689,,
Zabzugu,,16982,,
