ISO_numeric,ISO_code,Country,World_region,Survey,Year,Subnational_region,MPI_country,MPI_region,UCH_Nutrition,UCH_Child_mortality,UCH_Years_schooling,UCH_School_attendance,UCH_Cooking_fuel,UCH_Sanitation,UCH_Drinking_water,UCH_Electricity,UCH_Housing,UCH_Assets,Pop_survey_year_thousands,Pop_2022_thousands,Pop_2023_thousands,Pop_share_by_region_pct,Pop_size_by_region_thousands,Total_indicators,Indicators_missing
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Ahafo,0.1127845642449952,0.1268990253919207,23.52024241973724,3.3279380499286297,12.72359935103195,8.22411996010398,91.01753552092377,79.93817863559444,30.09956286724764,38.69368892591036,50.66657244296575,14.3952765970383,33149.152,33149.152,33787.914,2.15202774690261,727.1253051757812,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Ashanti,0.1127845642449952,0.0600137072751696,21.598494099603798,3.85921866900703,7.85958957938523,3.37924505977946,72.48319387371642,70.9143373286094,8.317121476783349,12.17592042724149,16.93441999314794,13.6774333056013,33149.152,33149.152,33787.914,18.62692018499346,6293.64794921875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Bono,0.1127845642449952,0.066108027100529,20.73354964840748,2.74017815633598,9.030032070190739,4.09617938996156,84.4100526230767,75.68249909399239,19.041959330659118,11.89358247183304,9.83267107298756,12.74266663631044,33149.152,33149.152,33787.914,3.53359699797664,1193.9287109375,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Bono East,0.1127845642449952,0.1708596453775111,25.685126499783312,3.4493184863284503,22.727738610344232,16.427824009433937,92.37936711166692,81.62524265895887,25.97600316539009,29.705847286599568,46.32349964986625,11.54744022715636,33149.152,33149.152,33787.914,4.3394837009956095,1466.2210693359375,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Central,0.1127845642449952,0.082089261908519,24.88689240855607,4.08825076479585,6.3169218569355206,4.735383274571079,79.24131028502697,78.74751497345096,21.158683290251883,8.64325756384849,26.237162471232363,16.39110653004271,33149.152,33149.152,33787.914,11.26833685161065,3807.3359375,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Eastern,0.1127845642449952,0.0687869651546916,17.56988732063655,2.43029242978425,8.98520913288232,3.20287828288536,78.63859794097141,75.91302925497611,18.36841771765263,10.629022896320569,32.027815757602426,11.3857752136793,33149.152,33149.152,33787.914,8.43005848870833,2848.3408203125,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Greater Accra,0.1127845642449952,0.021051686397721,12.89988190929581,1.0236969639847902,5.08320430335084,2.12450614587677,41.99748104413225,59.56033754386427,2.48621904552042,5.55382648958206,10.51608431016829,7.0044210409048695,33149.152,33149.152,33787.914,14.48629407922427,4894.61669921875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,North East,0.1127845642449952,0.3393637613787197,43.64792231633493,3.53421431065113,38.72521123103151,30.59145234631153,97.4876102337911,89.63131107957982,72.39374364413817,32.87109980332142,61.717850303777425,16.14328026884824,33149.152,33149.152,33787.914,2.3807361491818,804.4010620117188,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Northern,0.1127845642449952,0.3086394552423687,43.7470741513507,6.8664671626826905,33.04415142545692,32.93022236503422,92.26675392435297,89.29421529525655,43.619140070510895,25.306398164018717,59.57667514053726,12.1328064795159,33149.152,33149.152,33787.914,8.4962308637483,2870.69921875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Oti,0.1127845642449952,0.2192070969675215,31.988269899101752,3.9086434323647903,26.49641276772693,19.58926771136872,94.86145934656763,87.52787276509557,51.597546056409286,29.4352344250926,30.54503195997898,17.30108555525586,33149.152,33149.152,33787.914,2.89738742703755,978.966796875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Savannah,0.1127845642449952,0.3255019959326503,37.54436536632123,3.19044105706119,44.866876654532625,37.891762116570035,97.78297047845275,87.5934198426913,52.698506850337466,35.36201584806324,53.8709401528302,13.472865228162101,33149.152,33149.152,33787.914,2.58901728332206,874.7749633789062,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Upper East,0.1127845642449952,0.1571300016164791,29.761869334908248,3.1844476254925205,18.11349156006428,8.86652440374595,91.51561879567,87.7359371109628,27.36265032719386,42.71673043523063,36.70651304052145,10.767546172924082,33149.152,33149.152,33787.914,4.62002110611125,1561.0087890625,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Upper West,0.1127845642449952,0.1766946384575234,23.53491422605875,3.9223034236829304,32.02652729704355,11.86610050716927,95.99658090069248,91.41184732332968,32.84288726131097,36.097623454613895,24.50544724519692,19.55658658688815,33149.152,33149.152,33787.914,2.7703759912122,936.05224609375,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Volta,0.1127845642449952,0.0830632695794586,17.19288452540657,2.46082967710385,12.945790512849861,3.14306612755045,77.53372890890904,74.58905661482142,18.56052481000366,13.883188609942321,21.18623427224987,21.5910470405522,33149.152,33149.152,33787.914,4.494083450380329,1518.45703125,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Western,0.1127845642449952,0.0537172205395812,19.93338849718923,2.50256107036698,9.08734558081128,3.1956024239077,70.55513630523582,77.07205099747787,12.119331720445869,9.81744571270685,11.19854202385418,12.06095505286764,33149.152,33149.152,33787.914,6.261534737894429,2115.64208984375,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Western North,0.1127845642449952,0.1015260773523636,18.11634361873961,1.37532902879218,14.4097084970631,10.6932310328803,89.14603089082618,79.71328101454733,33.24044468073018,19.94452359531754,30.11270524246753,14.21975404565703,33149.152,33149.152,33787.914,2.6538949407008396,896.6957397460938,10.0,
