ISO_numeric,ISO_code,Country,World_region,Survey,Year,Subnational_region,MPI_country,MPI_region,Contrib_Health_dim,Contrib_Education_dim,Contrib_LivingStd_dim,Contrib_Nutrition,Contrib_Child_mortality,Contrib_Years_schooling,Contrib_School_attendance,Contrib_Cooking_fuel,Contrib_Sanitation,Contrib_Drinking_water,Contrib_Electricity,Contrib_Housing,Contrib_Assets,Pop_survey_year_thousands,Pop_2022_thousands,Pop_2023_thousands,Pop_share_by_region_pct,Pop_size_by_region_thousands,MPI_poor_by_region_thousands,Total_indicators,Indicators_missing
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Ahafo,0.1127845642449952,0.1268990253919207,23.573720455169678,22.70369976758957,53.722578287124634,21.59197927972031,1.98174171328083,13.92039767971392,8.78330114237421,12.98218010091331,11.72926904747488,6.8095202650654,8.534624675529411,9.83649708190781,3.8304890140207,33149.152,33149.152,33787.914,2.15202774690261,727.1253051757812,216.75640869140625,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Ashanti,0.1127845642449952,0.0600137072751696,36.616137623786926,16.535338759422302,46.84852659702301,28.975340803850543,7.6407972370433495,12.12986886072154,4.40547009527518,14.07965594445023,12.862546793456051,3.38321410547806,5.97069887532233,5.3168224444447905,5.23558483995918,33149.152,33149.152,33787.914,18.62692018499346,6293.64794921875,958.98046875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Bono,0.1127845642449952,0.066108027100529,24.27918165922165,26.465532183647156,49.255287647247314,18.292606642736388,5.9865755214207494,19.403358683721763,7.0621721702901,12.910921180311611,12.47453647087144,7.83835894211316,6.67998026866924,3.8891541672794503,5.4623359525864705,33149.152,33149.152,33787.914,3.53359699797664,1193.9287109375,190.19549560546875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Bono East,0.1127845642449952,0.1708596453775111,21.60612642765045,32.626885175704956,45.76699137687683,19.0133809166706,2.59274503193331,17.710947030330402,14.91593793580684,11.09687773390946,10.95034510916901,5.443938362663521,6.6740348560783,9.07767421919908,2.52411880423857,33149.152,33149.152,33787.914,4.3394837009956095,1466.2210693359375,509.9879455566406,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Central,0.1127845642449952,0.082089261908519,32.39114284515381,18.040581047534943,49.56827461719513,27.219137676661298,5.17200537966949,10.39526027919005,7.645320805840999,13.282978310686069,12.43164078351319,7.49611326563485,3.5611707358127602,7.5016011111925005,5.2947716517992,33149.152,33149.152,33787.914,11.26833685161065,3807.3359375,750.4969482421875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Eastern,0.1127845642449952,0.0687869651546916,24.749363958835602,21.13824486732483,54.11239266395569,21.6469882384788,3.10237514981403,15.75554959705803,5.3826964434865,13.570174407666661,13.486267218969362,7.17360942498792,5.9067038609040905,8.84946072697077,5.12617493166382,33149.152,33149.152,33787.914,8.43005848870833,2848.3408203125,488.03765869140625,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Greater Accra,0.1127845642449952,0.021051686397721,28.764212131500244,29.367592930793762,41.868194937705994,25.2039065271706,3.56030520620672,17.101093249412468,12.26649960474787,10.09831809209493,13.56636317431862,1.5635362761286902,5.71672302817466,3.4965912202476304,7.4266636214967905,33149.152,33149.152,33787.914,14.48629407922427,4894.61669921875,264.24200439453125,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,North East,0.1127845642449952,0.3393637613787197,22.37902134656906,33.306387066841125,44.31459307670593,20.64331493512985,1.7357060048159698,18.53054624364831,14.7758423062923,11.15508452435271,10.75583568072903,8.959679574948181,4.42964209773884,7.031853319452059,1.98249531289417,33149.152,33149.152,33787.914,2.3807361491818,804.4010620117188,552.9417114257812,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Northern,0.1127845642449952,0.3086394552423687,23.957723379135132,34.445562958717346,41.59671366214752,20.29408086985639,3.66364207112229,17.08075344821179,17.36480908073822,10.896333183968759,10.77925915213681,6.00944380582395,4.12984185812112,7.9330778990315505,1.84875863098946,33149.152,33149.152,33787.914,8.4962308637483,2870.69921875,1748.6497802734375,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Oti,0.1127845642449952,0.2192070969675215,22.700047492980957,32.369038462638855,44.93091106414795,19.86423443612354,2.83581371047864,18.29995766416399,14.06907975052509,11.805661698087611,11.56876083566694,8.391311753443711,5.47654835276746,4.44335559971396,3.24527619902856,33149.152,33149.152,33787.914,2.89738742703755,978.966796875,457.3800354003906,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Savannah,0.1127845642449952,0.3255019959326503,17.58914738893509,40.59268832206726,41.81816875934601,16.22786051610754,1.36128724088067,21.45601441645475,19.13667225495879,10.18191063254204,9.47543234855808,7.45151835784989,5.24252262152935,7.37696234344099,2.08981926767686,33149.152,33149.152,33787.914,2.58901728332206,874.7749633789062,523.3372802734375,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Upper East,0.1127845642449952,0.1571300016164791,26.053142547607422,24.999581277370453,48.947274684906006,23.575389425350398,2.47775340708713,15.892009967497,9.107571284734869,12.802053531504459,12.62699987811563,5.39324113031153,8.43639346362262,6.98019761820166,2.70839029357554,33149.152,33149.152,33787.914,4.62002110611125,1561.0087890625,570.3861694335938,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Upper West,0.1127845642449952,0.1766946384575234,18.614493310451508,34.429073333740234,46.95643186569214,15.35312588661929,3.2613671605909,24.07347880679397,10.35559469317889,12.063872124689789,12.13868951799743,6.17911585085583,6.952003300812961,5.202410335339589,4.42034232312115,33149.152,33149.152,33787.914,2.7703759912122,936.05224609375,364.6982421875,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Volta,0.1127845642449952,0.0830632695794586,21.539175510406494,25.5109965801239,52.949827909469604,18.926852608946778,2.61232249762048,20.73033988534489,4.7806547451625905,13.394796215379582,13.02092549947157,6.947757281450411,5.25062182004762,6.486299782059709,7.84942966451514,33149.152,33149.152,33787.914,4.494083450380329,1518.45703125,312.3999328613281,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Western,0.1127845642449952,0.0537172205395812,26.065915822982788,26.148658990859985,47.785428166389465,21.142721529400422,4.9231930008042,18.08884122462516,8.05981870195282,12.98483577433936,12.02256354496968,6.55543084048304,5.344210562367991,5.19736942377435,5.68101539728309,33149.152,33149.152,33787.914,6.261534737894429,2115.64208984375,265.6224060058594,10.0,
288,GHA,Ghana,Sub-Saharan Africa,DHS,2022,Western North,0.1127845642449952,0.1015260773523636,20.186227560043335,30.276930332183838,49.536845088005066,18.789485424414572,1.39674181075818,17.59842955039177,12.6784996726639,12.34841971908833,11.86969494934819,8.32554629103895,6.39608024975533,7.01449517353343,3.58260715900725,33149.152,33149.152,33787.914,2.6538949407008396,896.6957397460938,205.0836944580078,10.0,
